"country","happiness_score","gdp_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","generosity","perceptions_of_corruption","region","year"
"Finland",7.804,1.888,1.585,0.535,0.772,0.126,0.535,"Western Europe",2023
"Denmark",7.586,1.949,1.548,0.537,0.734,0.208,0.525,"Western Europe",2023
"Iceland",7.53,1.926,1.62,0.559,0.738,0.25,0.187,"Western Europe",2023
"Israel",7.473,1.833,1.521,0.577,0.569,0.124,0.158,"Middle East and North Africa",2023
"Netherlands",7.403,1.942,1.488,0.545,0.672,0.251,0.394,"Western Europe",2023
"Sweden",7.395,1.921,1.51,0.562,0.754,0.225,0.52,"Western Europe",2023
"Norway",7.315,1.994,1.521,0.544,0.752,0.212,0.463,"Western Europe",2023
"Switzerland",7.24,2.022,1.463,0.582,0.678,0.151,0.475,"Western Europe",2023
"Luxembourg",7.228,2.2,1.357,0.549,0.71,0.149,0.418,"Western Europe",2023
"New Zealand",7.123,1.842,1.544,0.513,0.672,0.23,0.471,"North America and ANZ",2023
"Austria",7.097,1.927,1.382,0.535,0.63,0.191,0.31,"Western Europe",2023
"Australia",7.095,1.899,1.497,0.532,0.677,0.242,0.31,"North America and ANZ",2023
"Canada",6.961,1.881,1.484,0.541,0.656,0.218,0.364,"North America and ANZ",2023
"Ireland",6.911,2.152,1.425,0.539,0.656,0.186,0.409,"Western Europe",2023
"United States",6.894,1.98,1.46,0.39,0.557,0.21,0.172,"North America and ANZ",2023
"Germany",6.892,1.919,1.401,0.539,0.618,0.153,0.365,"Western Europe",2023
"Belgium",6.859,1.907,1.449,0.528,0.59,0.137,0.273,"Western Europe",2023
"Czechia",6.845,1.823,1.544,0.477,0.693,0.158,0.05,"Central and Eastern Europe",2023
"United Kingdom",6.796,1.857,1.366,0.511,0.626,0.272,0.34,"Western Europe",2023
"Lithuania",6.763,1.808,1.511,0.432,0.487,0.059,0.089,"Central and Eastern Europe",2023
"France",6.661,1.856,1.433,0.566,0.582,0.083,0.27,"Western Europe",2023
"Slovenia",6.65,1.815,1.539,0.532,0.707,0.144,0.113,"Central and Eastern Europe",2023
"Costa Rica",6.609,1.587,1.34,0.503,0.683,0.099,0.116,"Latin America and Caribbean",2023
"Romania",6.589,1.726,1.28,0.423,0.631,0.044,0,"Central and Eastern Europe",2023
"Singapore",6.587,2.168,1.354,0.607,0.66,0.17,0.561,"Southeast Asia",2023
"United Arab Emirates",6.571,2.015,1.223,0.401,0.745,0.188,0.247,"Middle East and North Africa",2023
"Taiwan Province of China",6.535,1.89,1.372,0.492,0.562,0.067,0.178,"East Asia",2023
"Uruguay",6.494,1.617,1.445,0.435,0.683,0.102,0.254,"Latin America and Caribbean",2023
"Slovakia",6.469,1.731,1.544,0.472,0.494,0.128,0.022,"Central and Eastern Europe",2023
"Saudi Arabia",6.463,1.861,1.37,0.351,0.682,0.093,0.17,"Middle East and North Africa",2023
"Estonia",6.455,1.798,1.526,0.494,0.728,0.153,0.372,"Central and Eastern Europe",2023
"Spain",6.436,1.798,1.491,0.567,0.533,0.101,0.157,"Western Europe",2023
"Italy",6.405,1.832,1.365,0.559,0.438,0.097,0.063,"Western Europe",2023
"Kosovo",6.368,1.374,1.269,0.372,0.639,0.275,0.045,"Central and Eastern Europe",2023
"Chile",6.334,1.645,1.384,0.511,0.546,0.131,0.076,"Latin America and Caribbean",2023
"Mexico",6.33,1.55,1.169,0.389,0.632,0.086,0.115,"Latin America and Caribbean",2023
"Malta",6.3,1.841,1.468,0.547,0.671,0.2,0.143,"Western Europe",2023
"Panama",6.265,1.714,1.402,0.475,0.63,0.065,0.036,"Latin America and Caribbean",2023
"Poland",6.26,1.767,1.474,0.477,0.511,0.12,0.139,"Central and Eastern Europe",2023
"Nicaragua",6.259,1.109,1.292,0.385,0.66,0.148,0.218,"Latin America and Caribbean",2023
"Latvia",6.213,1.737,1.505,0.405,0.58,0.107,0.071,"Central and Eastern Europe",2023
"Guatemala",6.15,1.287,1.188,0.31,0.631,0.106,0.066,"Latin America and Caribbean",2023
"Kazakhstan",6.144,1.664,1.491,0.389,0.628,0.136,0.149,"Commonwealth of Independent States",2023
"Serbia",6.144,1.552,1.343,0.424,0.617,0.246,0.081,"Central and Eastern Europe",2023
"Cyprus",6.13,1.824,1.224,0.58,0.455,0.104,0.05,"Western Europe",2023
"Japan",6.129,1.825,1.396,0.622,0.556,0.009,0.207,"East Asia",2023
"Croatia",6.125,1.727,1.455,0.475,0.5,0.087,0.003,"Central and Eastern Europe",2023
"Brazil",6.125,1.454,1.25,0.387,0.558,0.131,0.137,"Latin America and Caribbean",2023
"El Salvador",6.122,1.278,1.044,0.383,0.713,0.079,0.222,"Latin America and Caribbean",2023
"Hungary",6.041,1.754,1.519,0.435,0.501,0.105,0.065,"Central and Eastern Europe",2023
"Argentina",6.024,1.59,1.388,0.427,0.587,0.088,0.082,"Latin America and Caribbean",2023
"Honduras",6.023,1.115,1.072,0.341,0.613,0.189,0.062,"Latin America and Caribbean",2023
"Uzbekistan",6.014,1.227,1.347,0.375,0.74,0.26,0.208,"Commonwealth of Independent States",2023
"Malaysia",6.012,1.665,1.155,0.385,0.659,0.222,0.122,"Southeast Asia",2023
"Portugal",5.968,1.758,1.356,0.537,0.693,0.031,0.037,"Western Europe",2023
"South Korea",5.951,1.853,1.188,0.603,0.446,0.112,0.163,"East Asia",2023
"Greece",5.931,1.708,1.247,0.535,0.248,0.008,0.097,"Western Europe",2023
"Mauritius",5.902,1.589,1.382,0.336,0.574,0.121,0.11,"Sub-Saharan Africa",2023
"Thailand",5.843,1.515,1.344,0.461,0.624,0.291,0.013,"Southeast Asia",2023
"Mongolia",5.84,1.379,1.494,0.244,0.425,0.239,0.058,"East Asia",2023
"Kyrgyzstan",5.825,1.061,1.439,0.417,0.735,0.234,0.018,"Commonwealth of Independent States",2023
"Moldova",5.819,1.425,1.302,0.375,0.61,0.093,0.02,"Central and Eastern Europe",2023
"China",5.818,1.51,1.249,0.468,0.666,0.115,0.145,"East Asia",2023
"Vietnam",5.763,1.349,1.212,0.381,0.741,0.134,0.122,"Southeast Asia",2023
"Paraguay",5.738,1.428,1.427,0.392,0.678,0.148,0.062,"Latin America and Caribbean",2023
"Montenegro",5.722,1.537,1.385,0.424,0.563,0.17,0.061,"Central and Eastern Europe",2023
"Jamaica",5.703,1.305,1.329,0.411,0.587,0.079,0.039,"Latin America and Caribbean",2023
"Bolivia",5.684,1.24,1.187,0.329,0.648,0.103,0.06,"Latin America and Caribbean",2023
"Russia",5.661,1.68,1.383,0.366,0.449,0.12,0.091,"Central and Eastern Europe",2023
"Bosnia and Herzegovina",5.633,1.467,1.361,0.429,0.485,0.247,0.008,"Central and Eastern Europe",2023
"Colombia",5.63,1.455,1.213,0.486,0.562,0.08,0.068,"Latin America and Caribbean",2023
"Dominican Republic",5.569,1.536,1.227,0.351,0.623,0.083,0.195,"Latin America and Caribbean",2023
"Ecuador",5.559,1.343,1.173,0.476,0.56,0.079,0.069,"Latin America and Caribbean",2023
"Peru",5.526,1.39,1.153,0.499,0.549,0.073,0.027,"Latin America and Caribbean",2023
"Philippines",5.523,1.238,1.108,0.286,0.714,0.104,0.141,"Southeast Asia",2023
"Bulgaria",5.466,1.635,1.457,0.408,0.557,0.106,0.013,"Central and Eastern Europe",2023
"Nepal",5.36,0.979,1.027,0.281,0.567,0.215,0.104,"South Asia",2023
"Armenia",5.342,1.466,1.134,0.443,0.551,0.053,0.16,"Central and Eastern Europe",2023
"Algeria",5.329,1.353,1.298,0.409,0.252,0.073,0.152,"Middle East and North Africa",2023
"Hong Kong S.A.R. of China",5.308,1.951,1.201,0.702,0.407,0.123,0.39,"East Asia",2023
"Albania",5.277,1.449,0.951,0.48,0.549,0.133,0.037,"Central and Eastern Europe",2023
"Indonesia",5.277,1.384,1.169,0.314,0.663,0.422,0.038,"Southeast Asia",2023
